ID,AÑO,MES,DATE,NANDINA,IMPORTER,FACTURA,CUSTOMS,MODE OF TRANSPORT,TRANSPORT NAME,ORIGIN,DEPARTURE,QUANTITY,UNIT OF MEASUREMENT,FOB U$S,UNIT FOB U$S,CIF U$S,UNIT CIF U$S,FREIGHT U$S,NET W. (KG),GROSS W.(KG),DETAIL OF MERCHANDISE,BULTOS,NANDINA,IVA,OTHERS,SUPPLIER,SUPPLIER  -  ADDRESS,SUPPLIER  -  TOWN,SUPPLIER  -  CONTACT
I0372019000000004,2019,1,2019-01-02,0306179900,IMPORTADORA OCEANOSA S.A.S.             ,001-001-000002,IPIALES                       ,TERRESTRE                ,TRANSPORTE NACIONAL      ,ECUADOR             ,ECUADOR             ,"3,100.00",                    ,"10,850.00",3.50,"11,035.74",3.56,77.24,"3,100.00","3,410.00",PRODUCTO: CAMARON DE CULTIVO PRECOCIDO CONGELADO VARIAS TALLAS. DESTINO: SECTOR GASTRONOMI                              ,000000450,0       ,0       ,0       ,INDUSTRIA PESQUERA OCEANOS S.A. INSPESOCEANOS               ,VIA DAULE KM 7 LOTIZACION SANTA CEC                         ,GUAYAQUIL                               ,                                
I0372019000000005,2019,1,2019-01-02,0306179900,IMPORTADORA OCEANOSA S.A.S.             ,001-001-000002,IPIALES                       ,TERRESTRE                ,TRANSPORTE NACIONAL      ,ECUADOR             ,ECUADOR             ,"5,900.00",                    ,"17,700.00",3.00,"18,003.01",3.05,126.01,"5,900.00","6,490.00","PRODUCTO: CAMARON DE CULTIVO CONGELADO CRUDO. DESTINO: SECTOR GASTRONOMICO, PARA CONSUMO H                              ",000000450,0       ,0       ,0       ,INDUSTRIA PESQUERA OCEANOS S.A.                             ,VIA DAULE KM 7 LOTIZACION SANTA CEC                         ,GUAYAQUIL                               ,                                
I0352019000002787,2019,1,2019-01-03,0306179900,INTERMARES L SAS                        ,001-007-000011,BUENAVENTURA                  ,MARITIMO                 ,EDUARDO  L GERLEIN S     ,ECUADOR             ,ECUADOR             ,"22,836.00",                    ,"91,697.60",4.02,"93,894.02",4.11,"1,279.44","22,836.00","24,739.00","""DO I-479-BUN/2018 PEDIDO 11884 DECLARACION 1 DE 1,FACTURA(S):001-007-000011884,MERCANCIA N""                            ",000001903,0       ,0       ,0       ,INDUSTRIAL PESQUERA SANTA PRISCILA S.A.                     ,KM. 5 1/2 VIA A DAULE                                       ,GUAYAQUIL                               ,                                
I0372019000000233,2019,1,2019-01-08,0306179900,IMPORTADORA NARINENSE DE PESCADO S.A.S  ,001-001-000002,IPIALES                       ,TERRESTRE                ,TRANSPORTE  CARVAJAL     ,ECUADOR             ,ECUADOR             ,"15,000.00",                    ,"90,000.00",6.00,"90,717.75",6.05,182.25,"15,000.00","15,750.00",DIM 1/1 DO0001-IP19 PEDIDO 02/01/2019 PRODUCTO : CAMARON DE CULTIVO PRECOCIDO. CANTIDAD :                               ,000000750,0       ,0       ,0       ,SEXICORP S.A.                                               ,AV LA AGUADA S/N FRENTE A LA ENTRAD                         ,HUAQUILLAS - EL ORO                     ,                                
I0482019000016709,2019,1,2019-01-08,0306179900,PACIFIC SEAFOOD LTDA                    ,001-004-000006,CARTAGENA ESPECIAL            ,MARITIMO                 ,MAERSK COLOMBIA S.A      ,ECUADOR             ,ECUADOR             ,"16,824.80",                    ,"180,684.96",10.74,"183,255.90",10.89,764.09,"16,824.80","18,908.97",CODIGO UAP 1593 DO I70883 PEDIDO PEDIDO DO. 1765 - SONGA DECLARACION 1 DE 2.FACTURA(S):001                              ,000001641,0       ,0       ,0       ,SOCIEDAD NACIONAL DE GALAPAGOS C.A SONGA                    ,"AV. LAS EXCLUSAS KM 3,5 VIA HEDA.LA                         ",GUAYAQUIL                               ,                                
I0482019000016710,2019,1,2019-01-08,0306179900,PACIFIC SEAFOOD LTDA                    ,001-004-000006,CARTAGENA ESPECIAL            ,MARITIMO                 ,MAERSK COLOMBIA S.A      ,ECUADOR             ,ECUADOR             ,70.00,                    ,70.00,1.00,80.40,1.15,9.70,70.00,78.67,CODIGO UAP 1593 DO I70883 PEDIDO PEDIDO DO. 1765 - SONGA DECLARACION 2 DE 2.FACTURA(S):001                              ,000001641,0       ,0       ,0       ,SOCIEDAD NACIONAL DE GALAPAGOS C.A SONGA                    ,"AV. LAS EXCLUSAS KM 3,5 VIA HEDA.LA                         ",GUAYAQUIL                               ,                                
I0372019000000329,2019,1,2019-01-09,0306179900,COLORAO SAS                             ,002-003-000000,IPIALES                       ,TERRESTRE                ,TRANSPORTE NACIONAL      ,ECUADOR             ,ECUADOR             ,"10,000.00",                    ,"57,475.60",5.75,"58,130.98",5.81,80.62,"10,000.00","10,500.00",PRODUCTO: ***CAMARON DE CULTIVO CRUDO IQF CONGELADO. DESTINO: SECTOR GASTRONOMICO - PARA C                              ,000000500,0       ,0       ,0       ,ZAMBRITISA S.A.                                             ,"MAPASINGUE OESTE, CALLE TERCERA 438                         ",GUAYAQUIL                               ,                                
I0032019000043126,2019,1,2019-01-10,0306320000,PESQUERA JARAMILLO LTDA                 ,1228427       ,BOGOTA                        ,AEREO                    ,AIR CANADA SUCURSAL      ,CANADA              ,CANADA              ,81.65,                    ,"1,512.43",18.52,"1,975.75",24.20,448.20,81.65,108.00,DO CITBOG19006 PEDIDO TRAMITE: LANGOSTA DECLARACION(1-1) FACTURA: 1228427 FECHA: 2019-01-0                              ,000000006,0       ,19      ,0       ,FISHERMANS MARKET INTERNATIONAL INC                         ,607 BENDFORT HIGWAY                                         ,HALIFAX                                 ,                                
I0372019000000573,2019,1,2019-01-11,0306179900,P Y M PACIFIC GROUP S.A.S.              ,002002-0000001,IPIALES                       ,TERRESTRE                ,TRANSPORTE NACIONAL      ,ECUADOR             ,ECUADOR             ,"12,000.00",                    ,"65,895.60",5.49,"66,481.08",5.54,73.48,"12,000.00","12,780.00","PRODUCTO: CAMARON DE CULTIVO CONGELADO PRECOCIDO. DESTINO: SECTOR GASTRONOMICO, PARA CONSU                              ",000000600,0       ,0       ,0       ,EXPORTADORA DE CAMARON ECUATORIANO EXCAMECOR                ,VIA PANAMERICANA E/ MANUELA SAENZ Y GUAR                    ,GUAYAQUIL                               ,                                
I0372019000000654,2019,1,2019-01-14,0306179900,COMERCIALIZADORA FRESMAR S.A.S.         ,001-001-000002,IPIALES                       ,TERRESTRE                ,CONSOLIDADORA Y TRAN     ,ECUADOR             ,ECUADOR             ,"24,274.00",                    ,"135,209.27",5.57,"136,706.12",5.63,144.76,"24,274.00","25,650.00","(D.O. 19-I-005 1/1) - CAMARON DE CULTIVO, CRUDO, CONGELADO, PARA CONSUMO HUMANO, SIN MARCA                              ",000001130,0       ,0       ,0       ,FRIGOPESCA C.A.                                             ,VIA A DAULE KM 9 1/2 AV CASUARINAS                          ,GUAYAQUIL                               ,                                
